Date,County,Total_Cases,Negatives,Deaths
4/22/20,Clearfield,11,337,0
4/22/20,Clinton,13,125,0
4/22/20,Columbia,239,279,7
4/22/20,Crawford,17,555,0
4/22/20,Cumberland,207,990,6
4/22/20,Dauphin,422,2599,13
4/22/20,Delaware,2757,6737,123
4/22/20,Elk,2,120,0
4/22/20,Erie,62,1351,0
4/22/20,Fayette,70,1394,3
4/22/20,Forest,7,20,0
4/22/20,Franklin,152,2280,10
4/22/20,Fulton,2,58,0
4/22/20,Greene,25,347,0
4/22/20,Huntingdon,15,198,0
4/22/20,Indiana,56,459,4
4/22/20,Jefferson,3,262,0
4/22/20,Juniata,73,76,0
4/22/20,Lackawanna,682,1661,57
4/22/20,Lancaster,1326,6104,86
4/22/20,Lawrence,61,550,6
4/22/20,Lebanon,535,2065,8
4/22/20,Lehigh,2374,6043,49
4/22/20,Luzerne,1848,3569,60
4/22/20,Lycoming,43,853,2
4/22/20,McKean,5,138,0
4/22/20,Mercer,59,538,1
4/22/20,Mifflin,22,540,0
4/22/20,Monroe,1015,2131,48
4/22/20,Montgomery,3294,12961,230
4/22/20,Montour,47,2938,0
4/22/20,Northampton,1591,5141,44
4/22/20,Northumberland,77,324,0
4/22/20,Perry,23,134,1
4/22/20,Philadelphia,9696,21464,365
4/22/20,Pike,317,1006,12
4/22/20,Potter,4,65,0
4/22/20,Schuylkill,283,1560,7
4/22/20,Snyder,31,143,1
4/22/20,Somerset,19,381,0
4/22/20,Sullivan,1,24,0
4/22/20,Susquehanna,71,185,4
4/22/20,Tioga,15,184,2
4/22/20,Union,30,429,0
4/22/20,Venango,6,191,0
4/22/20,Warren,2,137,1
4/22/20,Washington,87,1616,2
4/22/20,Wayne,86,408,3
4/22/20,Westmoreland,300,3581,20
4/22/20,Wyoming,17,83,1
4/22/20,York,531,5585,14
4/21/20,Adams,91,1237,2
4/21/20,Allegheny,1059,11611,67
4/21/20,Armstrong,38,474,2
4/21/20,Beaver,303,1628,43
4/21/20,Bedford,16,109,1
4/21/20,Berks,1988,4011,82
4/21/20,Blair,14,646,0
4/21/20,Bradford,31,408,5
4/21/20,Bucks,1917,5884,116
4/21/20,Butler,162,1840,6
4/21/20,Cambria,20,567,2
4/21/20,Cameron,1,19,0
4/21/20,Carbon,150,793,11
4/21/20,Centre,77,605,2
4/21/20,Chester,919,4075,65
4/21/20,Clarion,18,382,1
4/21/20,Clearfield,11,331,0
4/21/20,Clinton,11,114,0
4/21/20,Columbia,225,220,8
4/21/20,Crawford,17,554,0
4/21/20,Cumberland,194,935,6
4/21/20,Dauphin,400,2448,11
4/21/20,Delaware,2654,6540,118
4/21/20,Elk,2,119,0
4/21/20,Erie,60,1340,0
4/21/20,Fayette,69,1376,3
4/21/20,Forest,7,21,0
4/21/20,Franklin,143,2244,10
4/21/20,Fulton,2,55,0
4/21/20,Greene,25,332,0
4/21/20,Huntingdon,13,182,0
4/21/20,Indiana,55,453,4
4/21/20,Jefferson,3,258,0
4/21/20,Juniata,72,71,0
4/21/20,Lackawanna,666,1612,53
4/21/20,Lancaster,1295,5956,88
4/21/20,Lawrence,60,537,6
4/21/20,Lebanon,525,2033,8
4/21/20,Lehigh,2295,5883,49
4/21/20,Luzerne,1800,3449,50
4/21/20,Lycoming,42,796,2
4/21/20,McKean,5,132,0
4/21/20,Mercer,59,519,1
4/21/20,Mifflin,21,527,0
4/21/20,Monroe,995,2088,46
4/21/20,Montgomery,3154,12482,223
4/21/20,Montour,47,2933,0
4/21/20,Northampton,1544,5004,43
4/21/20,Northumberland,77,288,0
4/21/20,Perry,20,126,1
4/21/20,Philadelphia,9391,20817,363
4/21/20,Pike,314,1001,12
4/21/20,Potter,4,61,0
4/21/20,Schuylkill,277,1501,7
4/21/20,Snyder,30,133,1
4/21/20,Somerset,19,361,0
4/21/20,Sullivan,1,24,0
4/21/20,Susquehanna,71,182,4
4/21/20,Tioga,15,177,2
4/21/20,Union,29,424,0
4/21/20,Venango,6,190,0
4/21/20,Warren,2,137,1
4/21/20,Washington,86,1577,2
