Date,County,Total_Cases,Negatives,Deaths
2020-04-21,Berks,1988,4011,82
2020-04-21,Blair,14,646,0
2020-04-21,Bradford,31,408,5
2020-04-21,Bucks,1917,5884,116
2020-04-21,Butler,162,1840,6
2020-04-21,Cambria,20,567,2
2020-04-21,Cameron,1,19,0
2020-04-21,Carbon,150,793,11
2020-04-21,Centre,77,605,2
2020-04-21,Chester,919,4075,65
2020-04-21,Clarion,18,382,1
2020-04-21,Clearfield,11,331,0
2020-04-21,Clinton,11,114,0
2020-04-21,Columbia,225,220,8
2020-04-21,Crawford,17,554,0
2020-04-21,Cumberland,194,935,6
2020-04-21,Dauphin,400,2448,11
2020-04-21,Delaware,2654,6540,118
2020-04-21,Elk,2,119,0
2020-04-21,Erie,60,1340,0
2020-04-21,Fayette,69,1376,3
2020-04-21,Forest,7,21,0
2020-04-21,Franklin,143,2244,10
2020-04-21,Fulton,2,55,0
2020-04-21,Greene,25,332,0
2020-04-21,Huntingdon,13,182,0
2020-04-21,Indiana,55,453,4
2020-04-21,Jefferson,3,258,0
2020-04-21,Juniata,72,71,0
2020-04-21,Lackawanna,666,1612,53
2020-04-21,Lancaster,1295,5956,88
2020-04-21,Lawrence,60,537,6
2020-04-21,Lebanon,525,2033,8
2020-04-21,Lehigh,2295,5883,49
2020-04-21,Luzerne,1800,3449,50
2020-04-21,Lycoming,42,796,2
2020-04-21,McKean,5,132,0
2020-04-21,Mercer,59,519,1
2020-04-21,Mifflin,21,527,0
2020-04-21,Monroe,995,2088,46
2020-04-21,Montgomery,3154,12482,223
2020-04-21,Montour,47,2933,0
2020-04-21,Northampton,1544,5004,43
2020-04-21,Northumberland,77,288,0
2020-04-21,Perry,20,126,1
2020-04-21,Philadelphia,9391,20817,363
2020-04-21,Pike,314,1001,12
2020-04-21,Potter,4,61,0
2020-04-21,Schuylkill,277,1501,7
2020-04-21,Snyder,30,133,1
2020-04-21,Somerset,19,361,0
2020-04-21,Sullivan,1,24,0
2020-04-21,Susquehanna,71,182,4
2020-04-21,Tioga,15,177,2
2020-04-21,Union,29,424,0
2020-04-21,Venango,6,190,0
2020-04-21,Warren,2,137,1
2020-04-21,Washington,86,1577,2
2020-04-21,Wayne,86,403,3
2020-04-21,Westmoreland,291,3529,20
2020-04-21,Wyoming,17,78,1
2020-04-21,York,517,5481,13
2020-04-20,Adams,85,1208,1
2020-04-20,Allegheny,1042,11348,55
2020-04-20,Armstrong,38,459,2
2020-04-20,Beaver,298,1621,36
2020-04-20,Bedford,15,103,1
